user_id,age,country,signup_date,spend
USER_0001,,USA,,23.81
USER_0002,33.0,Australia,2025-09-20,0.34
USER_0003,42.0,USA,,
USER_0004,53.0,Canada,2025-03-16,78.44
USER_0005,invalid_age,USA,2024-11-22,45.32
USER_0006,32.0,USA,2025-10-07,5.34
USER_0007,53.0,USA,2024-04-22,93.91
USER_0008,44.0,Germany,2024-10-30,37.87
USER_0009,29.0,USA,2024-08-28,92.17
USER_0010,,Germany,2024-08-28,43.4
USER_0011,29.0,USA,2024-06-27,41.01
USER_0012,190,USA,2025-04-20,5.56
USER_0013,37.0,UK,2025-04-19,9.16
USER_0014,18.0,France,2024-08-13,178.82
USER_0015,18.0,USA,2024-12-20,12.97
USER_0016,28.0,Canada,,189.61
USER_0017,22.0,Japan,2025-09-09,37.96
USER_0018,38.0,Canada,2025-03-16,7.3
USER_0531,24.0,USA,2024-03-17,5.23
USER_0020,18.0,USA,2025-08-01,43012.336096919295
USER_0021,52.0,Japan,2025-01-01,
USER_0022,32.0,USA,2025-11-08,26.73
USER_0023,35.0,Japan,2024-05-04,25.16
USER_0024,18.0,UK,2023-13-45,18.79
USER_0025,28.0,Japan,2025-01-22,7.95
USER_0026,36.0,France,2025-09-30,33.46
USER_0027,21.0,,2024-03-06,6.97
USER_0798,,USA,2024-03-15,90.24
USER_0029,27.0,France,2025-05-11,23.13
USER_0030,31.0,UK,2024-06-23,23.48
USER_0031,,,2025-08-06,32.12
USER_0032,57.0,Canada,2023-12-23,29.36
USER_0033,34.0,,2025-03-25,263.52
USER_0034,22.0,Brazil,00/00/0000,39.41
USER_0035,44.0,France,2025-04-27,4.62
USER_0036,20.0,,,46.68
USER_0037,37.0,UK,2024-12-15,8.22
USER_0038,18.0,France,2025-09-05,1.57
USER_0039,19.0,USA,2025-08-13,176.58
USER_0040,37.0,USA,2024-09-11,74.26
USER_0480,43.0,Atlantis,2024-11-08,195.87
USER_0042,37.0,USA,2024-07-09,32.49
USER_0043,33.0,USA,2025-08-22,-806.6308542175017
USER_0044,31.0,USA,2025-09-07,9.22
USER_0045,18.0,USA,2024-07-07,-420.01914733316505
USER_0046,26.0,USA,2024-06-04,-500.95979711094634
USER_0047,29.0,Brazil,2024-07-27,22.02
USER_0048,47.0,UK,2025-07-04,87.67
USER_0049,-7,USA,2025-09-06,61.72
USER_0050,18.0,,2024-07-06,9.75
USER_0051,,USA,2024-10-24,35.41
USER_0389,30.0,Brazil,2025-05-01,56.57
USER_0053,26.0,France,2025-02-22,13.4
USER_0054,42.0,USA,2025-05-08,88.8
USER_0055,47.0,UK,2024-06-14,39.35
USER_0056,46.0,Japan,2025-02-19,9.03
USER_0057,24.0,Brazil,2025-01-23,
USER_0058,164,UK,2024-08-23,407.94
USER_0059,,Canada,2025-05-29,8.16
USER_0060,46.0,USA,2025-07-13,84.85
USER_0061,29.0,Brazil,2025-02-19,11.62
USER_0062,32.0,USA,2024-12-25,76.25
USER_0063,21.0,Brazil,2024-02-10,66.32
USER_0064,invalid_age,Canada,2023-12-28,
USER_0065,44.0,Canada,2025-02-17,19.71
USER_0066,51.0,,00/00/0000,78.64
USER_0067,34.0,USA,2025-09-27,30.94
USER_0068,47.0,USA,2025-01-08,65.62
USER_0069,39.0,USA,2025-10-15,30415.708853948265
USER_0070,-5,USA,2024-11-01,95.72
